English,中文（採用）,別稱,來源
solar constant,太陽常數,,牛津 Book E3 Ch4
solar control window film,太陽隔熱膜,,牛津 Book E3 Ch3
solar cooker,太陽灶,,EDB 2020
solar eclipse,日食,日蝕,EDB 2020
solar energy,太陽能,,EDB 2020
solar panel,太陽能電池板,,牛津 Book E3 Ch4
solar power,太陽能,,牛津 Book E3 Ch4
solar system,太陽系,,牛津 Book E1 Ch1
soldering iron,烙鐵,,EDB 2020
solenoid,螺綫管,,EDB 2020
solid,固體,,EDB 2020
solid phase,固相,,EDB 2020
solid state,固態,,EDB 2020
solidification,凝固,,EDB 2020
solidifying point,凝固點,,EDB 2020
somatic effect,體細胞效應,,EDB 2020
sonar,聲納,,EDB 2020
sonic boom,聲爆,,EDB 2020
sonometer,弦音計,,EDB 2020
sound,聲音,,EDB 2020
sound intensity,聲強度,,EDB 2020
sound intensity level,聲強級,,牛津 Book E4 Ch2
sound proofing,隔聲,,EDB 2020
sound track,聲跡,聲道,EDB 2020
sound wave,聲波,,EDB 2020
south celestial pole,南天極,,EDB 2020
south pole,南極,,EDB 2020
spacecraft,太空飛行器,宇宙飛船 / 太空船,EDB 2020
spacelab,空間實驗室,宇宙實驗室 / 太空實驗室,EDB 2020
spark,火花,,EDB 2020
spark counter,火花計數器,,牛津 Book 5 Ch1
spatial scale,空間標度,,EDB 2020
special relativity,狹義相對論,,牛津 Book E2 Ch1
special theory of relativity,狹義相對論,,牛津 Book 5 Ch3
specific charge,荷質比,比電荷 / 比荷,EDB 2020
specific heat capacity,比熱容量,,牛津 Book 1 Ch3
specific heat capacity at constant pressure,定壓比熱容量,,EDB 2020
specific heat capacity at constant volume,定容比熱容量,,EDB 2020
specific latent heat,比潛熱,,EDB 2020
specific latent heat of fusion,熔解比潛熱,,EDB 2020
specific latent heat of vaporization,汽化比潛熱,,EDB 2020
spectacles,眼鏡,,EDB 2020
spectral analysis,光譜分析,,EDB 2020
spectral class,光譜型,,牛津 Book E1 Ch3
spectral line,光譜線,光譜綫（EDB）,牛津 Book E1 Ch3
spectral order,光譜級,,EDB 2020
spectrometer,光譜儀,分光計,EDB 2020
spectroscopy,光譜學,,EDB 2020
spectrum,譜,光譜 / 波譜,EDB 2020
spectrum tube,光譜管,,EDB 2020
specular reflection,鏡面反射,,EDB 2020
speed,速率,,牛津 Book 2 Ch1
speed of light,光速,,EDB 2020
speed of sound,聲速,音速,EDB 2020
spherical aberration,球面像差,,EDB 2020
spherical lens,球面透鏡,,EDB 2020
spherical mirror,球面鏡,,EDB 2020
spherical wave,球面波,,EDB 2020
spherically symmetric,球對稱的,,EDB 2020
spin,自旋,,EDB 2020
spiral,螺綫,螺旋形,EDB 2020
spiral spring,螺旋彈簧,,EDB 2020
spirit level,氣泡水平儀,,EDB 2020
spontaneous,自發的,,EDB 2020
spontaneous disintegration,自發蛻變,,EDB 2020
spontaneous emission,自發發射,,EDB 2020
spontaneously,自發,,牛津 Book 5 Ch1
spring,彈簧,簧片 / 發條,EDB 2020
spring balance,彈簧秤,,EDB 2020
square wave,方波,,EDB 2020
squarer,方波產生器,,EDB 2020
stable equilibrium,穩定平衡,,EDB 2020
stable state,穩定態,,EDB 2020
stackable plug,疊加式插頭,,EDB 2020
standard atmospheric pressure,標準大氣壓強,標準大氣壓,EDB 2020
standard cell,標準電池,,EDB 2020
standard deviation,標準偏差,標準差,EDB 2020
standard error,標準誤差,,EDB 2020
standing wave,駐波,,EDB 2020
star,恆星,,牛津 Book E1 Ch1
star cluster,星團,,牛津 Book E1 Ch1
star map,星圖,,EDB 2020
starter,起動器,,EDB 2020
starting resistance,起動電阻,,EDB 2020
starting voltage,起動電壓,,EDB 2020
state,態,,EDB 2020
states of matter,物態,,EDB 2020
static equilibrium,靜態平衡,,EDB 2020
static friction,靜摩擦,,EDB 2020
static resistance,靜態電阻,,EDB 2020
statics,靜力學,,EDB 2020
stationary wave,駐波,定態波,EDB 2020
stationary wave / standing wave,駐波,,牛津 Book 3B  Ch5
stator,定子,,EDB 2020
steady flow,穩流,定常流動,EDB 2020
steady state,穩態,定態,EDB 2020
steam,水蒸氣,蒸汽,EDB 2020
steam engine,蒸汽機,,EDB 2020
steam point,汽化點,汽點,EDB 2020
steam turbine,蒸汽渦輪機,,EDB 2020
steel yoke,鋼軛,,EDB 2020
Stefan's law,斯特藩定律,,EDB 2020
Stefan’s law,斯特藩定律,,牛津 Book E1 Ch3
stellar classification,恆星分類,,EDB 2020
step-down transformer,降壓器,,牛津 Book 4 Ch8
step-up transformer,升壓器,,牛津 Book 4 Ch8
stereophonic sound,立體聲,,EDB 2020
stiffness,硬挺度,抗撓性,EDB 2020
stimulated absorption,受激吸收,,EDB 2020
stimulated emission,受激發射,,EDB 2020
Stoke's law,斯托克斯定律,,EDB 2020
stop watch,秒錶,,EDB 2020
stopclock,秒鐘,,EDB 2020
stopping potential,遏止電勢,,牛津 Book E2 Ch1
storage battery,蓄電池組,,EDB 2020
storage capacitor,存儲電容器,,EDB 2020
Storage Capacity (litre),儲水容量(公升),,牛津 Book E3 Ch1
stored energy,儲能,,EDB 2020
straight pulse,直綫脈衝,,EDB 2020
straight wave,直線波,直綫波（EDB）,牛津 Book 3B  Ch5
straight wavefront,直綫波陣面,直綫波前,EDB 2020
strain,應變,,EDB 2020
strain gauge,應變計,應變規,EDB 2020
stray capacitance,雜散電容,,EDB 2020
streamline,流綫,,EDB 2020
stress,應力,,EDB 2020
stretch,伸長,緊張,EDB 2020
strobe frequency,閃頻,,EDB 2020
stroboscope,頻閃觀測器,頻閃儀,EDB 2020
stroboscopic photography,頻閃照相法,,EDB 2020
strontium,鍶,,EDB 2020
stylus,唱針,,EDB 2020
sub-station,電力分站,,EDB 2020
subatomic particle,亞原子粒子,,牛津 Book 5 Ch2
sublimation,昇華,,EDB 2020
submerge,浸沒,,EDB 2020
subsonic speed,亞聲速,亞音速,EDB 2020
summing amplifier,加法放大器,,EDB 2020
sundial,日晷,,EDB 2020
sunspot,太陽黑子,,牛津 Book E1 Ch1
supercapacitor,超級電容器,,牛津 Book E3 Ch3
supercluster,超星系團,,牛津 Book E1 Ch1
superconductivity,超導電性,,EDB 2020
superconductor,超導體,,EDB 2020
supercooling,過冷,,EDB 2020
superficial expansivity,面膨脹係數,面膨脹率,EDB 2020
supergiant,超巨星,,牛津 Book E1 Ch3
superior mirage,上蜃景,,牛津 Book 3A Ch2
superior planet,外行星,,牛津 Book E1 Ch1
superposition,疊加,,牛津 Book 3B  Ch5
supersaturation,過飽和,,EDB 2020
supersonic speed,超聲速,超音速,EDB 2020
surface charge density,表面電荷密度,,EDB 2020
surface energy,表面能,,EDB 2020
surface tension,表面張力,,EDB 2020
susceptibility,磁化率,,EDB 2020
suspended particulate,懸浮粒子,,牛津 Book 4 Ch1
suspensory ligament,懸韌帶,,牛津 Book E4 Ch1
sweep,掃描,掃掠,EDB 2020
sweep rate,掃描速率,,EDB 2020
switch,開關,電鍵,EDB 2020
switch off,截斷,關閉,EDB 2020
switch on,接通,開啟,EDB 2020
symbol,符號,,EDB 2020
synchronization,同步,,EDB 2020
synchronous orbit,同步軌道,,EDB 2020
syringe,針筒,,EDB 2020
system,系統,,EDB 2020
systematic error,規律性誤差,系統誤差,EDB 2020
tangential acceleration,切向加速度,,EDB 2020
tangential component,切向分量,,EDB 2020
tape chart,紙帶圖表,,EDB 2020
tapping key,簧片按鍵,,EDB 2020
technetium-99m,鍀-99m,,EDB 2020
telephone receiver,電話聽筒,,EDB 2020
teleprompter,提詞機,,牛津 Book 3A Ch1
telescope,望遠鏡,,牛津 Book E1 Ch1
telescope mount,望遠鏡座,,EDB 2020
television,電視,,EDB 2020
temperature,温度,溫度（EDB）,牛津 Book 1 Ch1
temperature coefficient of resistance,電阻溫度係數,,EDB 2020
temperature difference,溫差,,EDB 2020
temperature gradient,溫度梯度,,EDB 2020
temperature scale,溫標,,EDB 2020
temperature-dependent property,與温度相關的物性,,牛津 Book 1 Ch1
tempering,回火,,EDB 2020
temporary magnet,暫時磁鐵,暫時磁體,EDB 2020
tensile force,張力,,EDB 2020
tensile strain,張應變,拉伸應變,EDB 2020
tensile strength,抗張強度,,EDB 2020
tensile stress,張應力,拉伸應力,EDB 2020
tension,張力,,EDB 2020
terminal,端鈕,接綫柱,EDB 2020
terminal speed,終端速率,,EDB 2020
terminal velocity,終端速度,,EDB 2020
terminal voltage,端電壓,,EDB 2020
terrestrial telescope,正像望遠鏡,,EDB 2020
tesla,忒斯拉,,EDB 2020
test charge,檢驗電荷,,牛津 Book 4 Ch1
test tube,試管,,EDB 2020
theory,理論,,EDB 2020
theory of relativity,相對論,,牛津 Book E2 Ch1
thermal capacity,熱容量,,EDB 2020
thermal conductivity,導熱率,,牛津 Book E3 Ch3
thermal equilibrium,熱平衡,,牛津 Book 1 Ch2
thermal pollution,熱污染,,牛津 Book E3 Ch4
thermal radiation,熱輻射,,EDB 2020
thermal reactor,熱中子反應堆,,EDB 2020
thermal transmission,熱傳遞,,EDB 2020
thermal transmittance,傳熱係數,熱傳送係數,EDB 2020
thermionic diode,熱離子二極管,,EDB 2020
thermionic emission,熱離子發射,,EDB 2020
thermistor,熱敏電阻器,,EDB 2020
thermistor thermometer,熱敏電阻温度計,熱敏電阻溫度計（EDB）,牛津 Book 1 Ch1
thermo-electromotive force,溫差電動勢,熱電動勢,EDB 2020
thermocouple,溫差電偶,熱電偶,EDB 2020
thermocouple thermometer,溫差電偶溫度計,熱電偶溫度計,EDB 2020
thermodynamic temperature,熱力學溫度,,EDB 2020
thermoelectric effect,溫差電效應,熱電效應,EDB 2020
thermometer,温度計,溫度計（EDB）,牛津 Book 1 Ch1
thermometer bulb,溫度計泡,,EDB 2020
thermometric property,測溫性質,,EDB 2020
thermometry,測溫學,,EDB 2020
thermonuclear reaction,熱核反應,,EDB 2020
thermopile,溫差電堆,熱電堆,EDB 2020
thermostat,恒溫器,,EDB 2020
thin film,薄膜,,EDB 2020
Thomas Edison,愛迪生,,牛津 Book 4 Ch8
Thomson's atomic model,湯姆生原子模型,,EDB 2020
thorium,釷,,EDB 2020
Three Gorges hydropower station,三峽水電站,,牛津 Book E3 Ch4
Three Laws of Spectroscopy,光譜分析三大定律,,牛津 Book E2 Ch2
three-pin plug,三腳插頭,,EDB 2020
threshold frequency,臨閾頻率,,牛津 Book E2 Ch1
threshold intensity,臨閾強度,,EDB 2020
threshold of hearing,聽覺閾,,牛津 Book E4 Ch2
threshold voltage,臨閾電壓,,EDB 2020
thrust,推力,,EDB 2020
thyratron tube,閘流管,,EDB 2020
ticker-tape,紙帶,,EDB 2020
ticker-tape timer,紙帶打點計時器,,EDB 2020
tidal energy,潮汐能,,EDB 2020
tidal power,潮汐能,,牛津 Book E3 Ch4
timbre,音品,音色,EDB 2020
time,時間,,EDB 2020
time base,時基,,EDB 2020
time base control,時基控制,,EDB 2020
time constant,時間常數,時間常量,EDB 2020
time interval,時距,,EDB 2020
time switch,定時開關,,EDB 2020
timer,計時器,,EDB 2020
titanium dioxide,二氧化鈦,,EDB 2020
tomograph,斷層造影圖,,牛津 Book E4 Ch3
tomour,腫瘤,,牛津 Book E4 Ch3
toroid,環狀綫圈,,EDB 2020
toroidal coil,環狀綫圈,,EDB 2020
toroidal rheostat,環形變阻器,環形可變電阻,EDB 2020
torque,轉矩,,EDB 2020
Torricelli's theorem,托里拆利定理,,EDB 2020
Torricellian vacuum,托里拆利真空,,EDB 2020
torsion,扭轉,,EDB 2020
torsion constant,扭轉常數,扭轉常量,EDB 2020
torsional force,扭力,,EDB 2020
torsional moment,扭矩,,EDB 2020
torsional oscillation,扭轉振盪,,EDB 2020
torsional pendulum,扭擺,,EDB 2020
torsional strength,抗扭強度,,EDB 2020
torsional stress,扭應力,,EDB 2020
total internal reflection,全內反射,全反射（EDB）,牛津 Book 3A Ch2
total internal refraction,全內反射,,牛津 Book 3A Ch2
Tower of Pisa,比薩斜塔,,牛津 Book 2 Ch2
trace,跡綫,描跡 / 示踪,EDB 2020
tracer,示蹤物,示踪物（EDB）,牛津 Book E4 Ch3
track,徑跡,,EDB 2020
train of waves,波列,,EDB 2020
trajectory,軌道,軌跡,EDB 2020
transducer,換能器,,牛津 Book E4 Ch1
transformation,變換,,EDB 2020
transformer,變壓器（俗稱火牛）,變壓器（EDB）,牛津 Book 4 Ch8
transient current,瞬變電流,,EDB 2020
transient state,瞬態,,EDB 2020
transient voltage,瞬變電壓,,EDB 2020
transistor,晶體管,晶體三極管,EDB 2020
transition,躍遷,轉變 / 過渡,EDB 2020
transition energy,躍遷能,,EDB 2020
translation,平移,,EDB 2020
translational energy,平移動能,,EDB 2020
translucent screen,半透明屏,半透明幕,EDB 2020
transmission,輸送,傳遞 / 透射,EDB 2020
transmission cable,輸電纜,,EDB 2020
transmission electron microscope,透射電子顯微鏡,,牛津 Book E2 Ch3
transmission electron microscope (TEM),透射電子顯微鏡,,EDB 2020
transmission grating,透射光柵,,EDB 2020
transmittance,透射比,,EDB 2020
transmitted ray,透射光綫,,EDB 2020
transmutation,嬗變,,牛津 Book 5 Ch2
transparent,透明,,EDB 2020
transverse,橫向的,,EDB 2020
transverse magnification,橫向放大,橫向放大率,EDB 2020
transverse wave,橫波,,牛津 Book 3B  Ch4
travelling microscope,移測顯微鏡,,EDB 2020
travelling wave,行波,,牛津 Book 3B  Ch4
triangle of force,力三角形,,EDB 2020
triangular prism,三稜鏡,三角稜鏡,EDB 2020
trigger,觸發,觸發器,EDB 2020
trigger input,觸發輸入,,EDB 2020
trigonometric ratio,三角比,,牛津 Book 2 Ch1
triode,三極管,,EDB 2020
triple beam balance,三桿式天平,,EDB 2020
triple point,三相點,三態點,EDB 2020
tripod stand,三腳架,,EDB 2020
tritium,氚,,EDB 2020
trolley,小車,,EDB 2020
trough,波谷,,牛津 Book 3B  Ch4
truth table,真值表,,EDB 2020
tsunami,海潚,,牛津 Book 3B  Ch4
tuberculosis,肺結核,,牛津 Book E4 Ch3
tune,調諧,,EDB 2020
tungsten,鎢,,牛津 Book E3 Ch2
tungsten filament,鎢絲,,EDB 2020
tuning fork,音叉,,EDB 2020
tunnelling current,隧穿電流,,牛津 Book E2 Ch3
tunnelling effect,隧道效應,隧穿效應,EDB 2020
turbine,渦輪機,,EDB 2020
turbulent flow,湍流,,EDB 2020
Turkey vulture,土耳其禿鷹,,牛津 Book 1 Ch2
turn,匝,轉 / 轉動,EDB 2020
turn off,截斷,關閉,EDB 2020
turn on,接通,開啟,EDB 2020
turns ratio,匝數比,,牛津 Book 4 Ch8
turntable,轉盤,,EDB 2020
twist,扭轉,,EDB 2020
two-way switch,雙向開關,,EDB 2020
Tycho Brahe,第谷,,牛津 Book E1 Ch2
ultimate tensile stress,極限張應力,,EDB 2020
ultra high frequency,超高頻,,EDB 2020
ultra-violet radiation,紫外輻射,,EDB 2020
ultra-violet ray,紫外綫,,EDB 2020
ultrasonic,超聲,超音,EDB 2020
ultrasonic wave,超聲波,超音波,EDB 2020
ultrasound,超聲波,超聲（EDB）,牛津 Book 2 Ch2
ultrasound scan,超聲波掃描,,EDB 2020
ultrasound scanning,超聲波掃描,,牛津 Book E4 Ch2
umbra,本影區,,牛津 Book 3A Ch2
unbalanced force,不平衡力,,EDB 2020
unidirectional circuit,單向電路,,EDB 2020
unidirectional current,單向電流,,EDB 2020
uniform,均勻,,EDB 2020
uniform acceleration,勻加速度,,EDB 2020
uniform electric field,勻強電場,,EDB 2020
uniform magnetic field,勻強磁場,,EDB 2020
uniform motion,勻速運動,,牛津 Book 2 Ch1
uniform speed,勻速率,,EDB 2020
uniform velocity,勻速度,,EDB 2020
uniformly accelerated motion,勻加速運動,,EDB 2020
unit,單位,單元,EDB 2020
unit mass,單位質量,,EDB 2020
unit temperature,單位溫度,,EDB 2020
universal gas constant,普適氣體常數,普適氣體常量,EDB 2020
universal gravitational constant,萬有引力常數,萬有引力常量,EDB 2020
universal stand,普用支架,,EDB 2020
universe,宇宙,,EDB 2020
unpolarized light,非偏振光,,EDB 2020
unpolarized wave,非偏振波,,EDB 2020
unstable equilibrium,不穩定平衡,,EDB 2020
unsteady state,非穩態,,EDB 2020
unstretched length,原長,,EDB 2020
upper limit,上限,,EDB 2020
upthrust,浮力,,EDB 2020
uranium,鈾,,牛津 Book 5 Ch1
uranium ore,鈾礦,,EDB 2020
uranyl nitrate,硝酸鈾醯,,EDB 2020
vacuum,真空,,EDB 2020
vacuum discharge,真空放電,,EDB 2020
vacuum pump,真空泵,,EDB 2020
vacuum tube,真空管,,EDB 2020
valence electron,價電子,,EDB 2020
valve,電子管,閥 / 活門,EDB 2020
Van de Graaff generator,范德格拉夫起電機,,牛津 Book 4 Ch1
Van der Waals' force,范德華力,,EDB 2020
vaporization,汽化,,EDB 2020
vapour,蒸氣,汽,EDB 2020
vapour density,蒸氣密度,汽密度,EDB 2020
vapour pressure,蒸氣壓,汽壓,EDB 2020
variable gain,可變增益,,EDB 2020
variable motion,變速運動,,EDB 2020
variable resistor,變阻器,可變電阻,EDB 2020
variable speed,可變速率,,EDB 2020
variable star,變星,,EDB 2020
variable velocity,可變速度,,EDB 2020
variation,變化,,EDB 2020
vector,矢量,向量,牛津 Book 2 Ch1
vector addition,矢量加法,向量加法,EDB 2020
vector product,矢積,向積,EDB 2020
velocity,速度,,牛津 Book 2 Ch1
velocity ratio,速度比,,EDB 2020
Venturi meter,文丘里流量計,,EDB 2020
vernier,游標尺,,EDB 2020
vernier calliper,游標尺,,牛津 Book 2 Ch1
vernier microscope,游標顯微鏡,,EDB 2020
vertical,垂直,,EDB 2020
vertical component,垂直分量,,EDB 2020
vertical deflection,垂直偏轉,,EDB 2020
very high frequency,甚高頻,,EDB 2020
vibration,振動,,EDB 2020
vibration generator,振動產生器,,EDB 2020
vibration/oscillation,振動,,牛津 Book 3B  Ch4
vibrator,振動器,,EDB 2020
Virgo Supercluster,室女座超星系團,,牛津 Book E1 Ch1
virtual earth,假接地,,EDB 2020
virtual focus,虛焦點,,EDB 2020
virtual image,虛像,,牛津 Book 3A Ch1
virtual object,虛物,虛物體,EDB 2020
viscosity,黏滯性,黏性,EDB 2020
viscous,黏滯的,,EDB 2020
viscous flow,黏滯流動,,EDB 2020
viscous force,黏滯力,黏力,EDB 2020
viscous resistance,黏滯阻力,,EDB 2020
visibility,可見度,,EDB 2020
visible light,可見光,,EDB 2020
visible spectrum,可見光譜,,EDB 2020
vision,視覺,視力,EDB 2020
visual angle,視角,,EDB 2020
volt,伏特,伏,EDB 2020
volt (V),伏特,,牛津 Book 4 Ch2
voltage,電壓,,牛津 Book 4 Ch2
voltage amplification,電壓放大率,,EDB 2020
voltage comparator,電壓比較器,,EDB 2020
voltage divider,分壓器,,EDB 2020
voltage drop,電壓降,,EDB 2020
voltage gain,電壓增益,,EDB 2020
voltage rating,電壓額定值,,EDB 2020
voltage ratio,電壓比,,牛津 Book 4 Ch8
voltage regulator,電壓調節器,,EDB 2020
voltage stabilizer,電壓穩定器,穩壓器,EDB 2020
voltmeter,伏特計,,牛津 Book 4 Ch2
voltmeter-ammeter method,伏安法,,牛津 Book 4 Ch2
volume,體積,容積,EDB 2020
vortex,渦漩,,EDB 2020
vulcanization,硫化作用,,EDB 2020
Wan Chai promenade,灣仔海濱長廊,,牛津 Book 3B  Ch5
water vapour,水蒸氣,水汽,EDB 2020
water wave,水波,,EDB 2020
water-repellence,斥水性,拒水性 / 疏水性,EDB 2020
watt,瓦特,瓦,EDB 2020
watt (W),瓦特,,牛津 Book 1 Ch3
watt-meter,瓦特計,功率計,EDB 2020
wave,波,,牛津 Book 3B  Ch4
wave model,波動模型,,EDB 2020
wave motion,波動,,EDB 2020
wave number,波數,,EDB 2020
wave pattern,波動圖形,,EDB 2020
wave source,波源,,EDB 2020
wave speed,波速率,,牛津 Book 3B  Ch4
wave train,波列,,EDB 2020
wave velocity,波速度,,EDB 2020
wave-particle duality,波粒二象性,,牛津 Book E2 Ch1
waveform,波形,,牛津 Book 3B  Ch4
wavefront,波陣面,,牛津 Book 3B  Ch5
waveguide,波導管,波導（EDB）,牛津 Book E3 Ch1
wavelength,波長,,牛津 Book 3B  Ch4
wavelet,子波,,EDB 2020
weber,韋伯,,EDB 2020
wedge,楔,,EDB 2020
weight,重量,砝碼 / 權重,EDB 2020
weightlessness,失重,無重狀態,牛津 Book E1 Ch2
west-to-east power transmission program,西電東送計劃,,牛津 Book E3 Ch4
Weston cadmium cell,韋斯頓鎘電池,,EDB 2020
Wheatstone bridge,惠斯登電橋,,EDB 2020
wheel-and-axle,輪軸,,EDB 2020
white dwarf,白矮星,,牛津 Book E1 Ch3
white light,白光,,EDB 2020
wig-wag machine,搖擺機,,EDB 2020
Willebrord Snell,斯涅耳,,牛津 Book 3A Ch2
Wilson cloud chamber,威爾遜雲室,,EDB 2020
wind power,風能,風力（EDB）,牛津 Book E3 Ch4
wind tunnel,風洞,,EDB 2020
wind turbine,風力渦輪機,,牛津 Book E3 Ch4
winding,繞組,繞,EDB 2020
Winter Triangle,冬季大三角,,牛津 Book E1 Ch1
wire gauze,鐵絲網,,EDB 2020
wiring,接綫,佈綫,EDB 2020
work,功,,牛津 Book 1 Ch2
work function,功函數,逸出功（EDB）,牛津 Book E2 Ch1
World Health Organization,世界衛生組織,,牛津 Book 4 Ch1
X-ray radiographic image X,射線放射攝影圖像,,牛津 Book E4 Ch3
X-shift,水平移,,EDB 2020
xenon,氙,,EDB 2020
xenon stroboscope,氙光頻閃觀測器,氙光頻閃儀,EDB 2020
Y-shift,垂直移,,EDB 2020
Yangtze River,長江,,牛津 Book E3 Ch4
yellow spot,黃點,,牛津 Book E4 Ch1
yield point,屈服點,,EDB 2020
yield strength,抗屈強度,,EDB 2020
Young modulus,楊氏模量,,EDB 2020
Young's double slit experiment,楊氏雙縫實驗,,EDB 2020
Young's interference fringes,楊氏干涉條紋,,EDB 2020
zener diode,齊訥二極管,,EDB 2020
Zeno,芝諾,,牛津 Book 2 Ch2
zero correction,零點校正,,EDB 2020
zeroth law of thermodynamics,熱力學第零定律,,EDB 2020
zeroth order,零級,,EDB 2020
zodiac,黃道帶,,EDB 2020
